CustomerID,Gender,Age,Location,Monthly Income (kRs),Spending Score (%),Product line,Payment,Rating
1,Male,19,Vasant Kunj,13,39,Health and beauty,Ewallet,9.1
2,Male,21,Vasant Kunj,14,81,Electronic accessories,Cash,9.6
3,Female,20,Vasant Kunj,14,6,Home and lifestyle,Credit card,7.4
4,Female,23,Vasant Kunj,15,77,Health and beauty,Ewallet,8.4
5,Female,31,Vasant Kunj,17,40,Sports and travel,Ewallet,5.3
6,Female,22,Safdarjung Enclave,14,76,Electronic accessories,Ewallet,4.1
7,Female,35,Vasant Kunj,18,70,Electronic accessories,Ewallet,5.8
8,Female,23,Safdarjung Enclave,16,94,Home and lifestyle,Ewallet,8
9,Male,64,Vasant Kunj,19,3,Health and beauty,Credit card,7.2
10,Female,30,Malviya Nagar,19,72,Food and beverages,Credit card,5.9
11,Male,67,Malviya Nagar,19,14,Fashion accessories,Ewallet,4.5
12,Female,35,Malviya Nagar,19,90,Electronic accessories,Cash,6.8
13,Female,58,Vasant Kunj,20,15,Electronic accessories,Ewallet,7.1
14,Female,24,Vasant Kunj,20,77,Food and beverages,Ewallet,8.2
15,Male,37,Vasant Kunj,20,13,Health and beauty,Cash,5.7
16,Male,22,Malviya Nagar,13,79,Sports and travel,Cash,4.5
17,Female,35,Vasant Kunj,21,35,Health and beauty,Credit card,4.6
18,Male,20,Vasant Kunj,15,66,Sports and travel,Credit card,6.9
19,Male,52,Vasant Kunj,23,29,Food and beverages,Credit card,8.6
20,Female,35,Malviya Nagar,23,98,Home and lifestyle,Ewallet,4.4
21,Male,35,Safdarjung Enclave,24,35,Electronic accessories,Ewallet,4.8
22,Male,25,Malviya Nagar,24,73,Health and beauty,Ewallet,5.1
23,Female,46,Malviya Nagar,25,5,Home and lifestyle,Credit card,4.4
24,Male,31,Vasant Kunj,25,73,Electronic accessories,Ewallet,9.9
25,Female,54,Vasant Kunj,28,14,Sports and travel,Ewallet,6
26,Male,29,Vasant Kunj,28,82,Home and lifestyle,Credit card,8.5
27,Female,45,Malviya Nagar,28,32,Fashion accessories,Cash,6.7
28,Male,35,Vasant Kunj,28,61,Fashion accessories,Credit card,7.7
29,Female,40,Malviya Nagar,29,31,Food and beverages,Cash,9.6
30,Female,23,Vasant Kunj,16,87,Health and beauty,Cash,7.4
31,Male,60,Malviya Nagar,30,4,Fashion accessories,Credit card,4.8
32,Female,21,Malviya Nagar,16,73,Sports and travel,Cash,4.5
33,Male,53,Malviya Nagar,33,4,Sports and travel,Cash,5.1
34,Male,18,Vasant Kunj,10,92,Health and beauty,Credit card,5.1
35,Female,49,Safdarjung Enclave,33,14,Food and beverages,Ewallet,7.5
36,Female,21,Safdarjung Enclave,15,81,Sports and travel,Ewallet,6.8
37,Female,42,Vasant Kunj,34,17,Sports and travel,Ewallet,7
38,Female,30,Vasant Kunj,34,73,Electronic accessories,Ewallet,4.7
39,Female,36,Safdarjung Enclave,37,26,Health and beauty,Ewallet,7.6
40,Female,20,Malviya Nagar,13,75,Home and lifestyle,Cash,7.7
41,Female,65,Malviya Nagar,38,35,Home and lifestyle,Ewallet,7.9
42,Male,24,Safdarjung Enclave,23,92,Home and lifestyle,Cash,6.3
43,Male,48,Malviya Nagar,39,36,Sports and travel,Cash,5.6
44,Female,31,Safdarjung Enclave,39,61,Food and beverages,Cash,7.6
45,Female,49,Safdarjung Enclave,39,28,Health and beauty,Cash,7.2
46,Female,24,Malviya Nagar,35,65,Electronic accessories,Cash,9.5
47,Female,50,Malviya Nagar,40,55,Health and beauty,Credit card,8.4
48,Female,27,Malviya Nagar,40,47,Food and beverages,Ewallet,4.1
49,Female,29,Malviya Nagar,40,42,Electronic accessories,Credit card,8.1
50,Female,31,Safdarjung Enclave,40,42,Fashion accessories,Ewallet,7.9
51,Female,49,Safdarjung Enclave,42,52,Food and beverages,Cash,9.5
52,Male,33,Vasant Kunj,42,60,Food and beverages,Cash,8.5
53,Female,31,Malviya Nagar,43,54,Fashion accessories,Ewallet,6.5
54,Male,59,Safdarjung Enclave,43,60,Fashion accessories,Credit card,6.1
